display_name,canonical_name,latest_precinct,precincts,sessions_count,sessions
"Day, David","day, david",16,16,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Dela Cruz, Prinz Jeremy","dela cruz, prinz jeremy",10,10,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Dempsey, Christopher","dempsey, christopher",4,4; 6,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Dewart, Mary","dewart, mary",3,3,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Dewart, Murray","dewart, murray",3,3,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Dickinson, Paul","dickinson, paul",2,2,5,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Doggett, John","doggett, john",13,13,10,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Dolbear, Emily","dolbear, emily",12,12,10,November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Doldron, Malcolm","doldron, malcolm",6,6,8,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Doughty, Dennis","doughty, dennis",3,3,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Drake, Cynthia","drake, cynthia",5,5,9,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting
"Dubin, Benjamin","dubin, benjamin",17,17,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Duclos, Keith","duclos, keith",7,7,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Duffield, Cher","duffield, cher",10,6; 10,6,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Eber, David Gordon","eber, david gordon",7,7,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Egozy, Yukiko Ueno","egozy, yukiko ueno",8,8,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Eisenberg, David","eisenberg, david",14,14,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Electris, Christi","electris, christi",7,7,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Eng, Ashley","eng, ashley",9,9,5,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"England, Kevin Allen","england, kevin allen",5,5,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Englander, Scott","englander, scott",6,6,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Erdman, Elizabeth","erdman, elizabeth",10,10,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Ericsson, Sarah","ericsson, sarah",1,1,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Evenson, Amy","evenson, amy",1,1,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
